UPC,ITEM_DESC,ANCHO,ALTO,PROFUNDO,NUM_FRENTES,MARCA,CHAROLA,E_CHAROLA_NORM
7501073800908,Penafiel Mineral 2 lt NR,10.3,34.1,10.3,1,PENAFIEL,1,0.3876
21136010480,Agua mineral Topo Chico 1.5 lt botella No Retornable,9.7,31.0,9.7,1,TOPO CHICO,1,0.3882
7501071120077,Squirt Toronja 2L NR,10.0,35.0,10.0,1,SQUIRT,1,0.3935
7501055304813,Fresca Toronja 3L NR,11.2,35.9,11.2,1,FRESCA,1,0.4141
7501071120077,Squirt Toronja 2L NR,10.0,35.0,10.0,1,SQUIRT,1,0.3935
7501073840843,Penafiel Sifon 1.75lt NR,10.3,37.5,10.3,1,PENAFIEL,2,0.4277
7501073839861,Penafiel Naranjada 2 lt NR,10.3,34.1,10.3,2,PENAFIEL,2,0.4407
7501055304806,Sprite Lima limon 3L NR,11.2,35.9,11.2,1,SPRITE,2,0.4444
7501055305650,Sprite Lima limon 2L NR,10.0,33.8,10.0,1,SPRITE,2,0.4444
7501073839212,Penafiel Twist Limon 1 lt NR,8.0,27.9,8.0,1,PENAFIEL,3,0.503
7501073830028,Penafiel Mineral 1 lt NR,8.0,27.9,8.0,1,PENAFIEL,3,0.5043
7501071120183,Squirt Toronja 600ml NR,6.7,25.0,6.7,1,SQUIRT,3,0.5054
7501505630073,Sangria casera Original 600ml NR,7.0,24.0,7.0,3,OTRO,3,0.5034
7501055305629,Sprite Lima limon 600ml NR,7.1,23.2,7.1,1,SPRITE,3,0.5155
21136010541,Agua mineral Topo Chico 600 ml botella No Retornable,7.8,20.6,7.8,1,TOPO CHICO,4,0.5626
7501073841925,Penafiel Pinada 600ml NR,6.7,24.5,6.7,2,PENAFIEL,4,0.5616
7501022014912,Mirinda 600mls RA,6.6,25.0,6.6,3,MIRINDA,4,0.5567
7501055303779,Fanta Naranja 600ml NR,7.1,23.2,7.1,1,FANTA,4,0.565
21136010541,Agua mineral Topo Chico 600 ml botella No Retornable,7.8,20.6,7.8,1,TOPO CHICO,5,0.5626
7501073831469,Penafiel Twist Limon 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,5,0.626
7501073839854,Penafiel Naranjada 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,5,0.6071
7501022015377,Manzanita Sol PET 600ml,6.6,25.0,6.6,1,OTRO,5,0.5892
7501022015513,Manzanita Sol Manzana 400ml NR,5.8,22.0,5.8,2,OTRO,5,0.6296
7501022013885,Seven up Lima limon 400ml NR,5.8,21.0,5.8,1,OTRO,5,0.6521
7501073831469,Penafiel Twist Limon 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,6,0.626
7501073830509,Penafiel Mineral 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,6,0.6496
7501073839885,Penafiel Limonada 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,6,0.6471
7501198355536,Dr Pepper Original 355ml Lata ,6.0,15.6,6.0,1,DR PEPPER,6,0.6617
7501022015513,Manzanita Sol Manzana 400ml NR,5.8,22.0,5.8,1,OTRO,6,0.6296
7501022013885,Seven up Lima limon 400ml NR,5.8,21.0,5.8,1,OTRO,6,0.6521
7501022016008,Mirinda RA 400ml PET 12,5.8,21.0,5.8,2,MIRINDA,6,0.6651
7501031311606,Refresco Pepsi 2 Lt botella No Retornable cola,10.0,35.0,10.0,1,PEPSI,7,0.4216
7501031311682,Refresco Pepsi 1.5 L NR:Regular,8.3,33.0,8.3,1,PEPSI,7,0.4146
7501055304745,Refresco CocaCola 3 lt botella No Retornable cola,11.3,36.7,11.3,1,COCA,7,0.3971
7501055305247,Refresco CocaCola 2.5 lt botella No Retornable cola,10.9,36.9,10.9,2,COCA,7,0.3929
7501055340002,Sidral Mundet Manzana 2L NR,10.0,34.7,10.0,1,MUNDET,8,0.4444
7501031310098,Refresco Pepsi 3 lt botella No Retornable:cola,12.5,37.5,12.5,1,PEPSI,8,0.4408
7501031310258,Refresco Pepsi 2.5 lt botella No Retornable:cola,11.0,37.5,11.0,1,PEPSI,8,0.4338
7501031311606,Refresco Pepsi 2 Lt botella No Retornable cola,10.0,35.0,10.0,1,PEPSI,8,0.4216
7501031311682,Refresco Pepsi 1.5 L NR:Regular,8.3,33.0,8.3,1,PEPSI,8,0.4146
7501055339983,Sidral Mundet Manzana 600ml NR,7.1,23.2,7.1,1,MUNDET,9,0.5312
7501031311644,Refresco sabor cola Pepsi 1 lto botella no retornable:Regular,8.0,28.0,8.0,1,PEPSI,9,0.498
7501031310012,Refresco Pepsi 600 ml botella No Retornable cola,6.7,25.0,6.7,2,PEPSI,9,0.5146
7501055302451,Refresco CocaCola 1 lt botella No Retornable cola,8.4,27.5,8.4,1,COCA,9,0.5019
7501055313525,Refresco Coca Cola 1.25 lts No Retornable:Regular,8.5,30.0,8.5,1,COCA,9,0.5
7501055302451,Refresco CocaCola 1 lt botella No Retornable cola,8.4,27.5,8.4,1,COCA,9,0.5019
7501055303779,Fanta Naranja 600ml NR,7.1,23.2,7.1,1,FANTA,10,0.565
7501031312559,Refresco Pepsi 600 ml botella No Retornable cola light,6.7,25.0,6.7,2,PEPSI,10,0.5482
7501022013052,PEPSI BLACK 600ML,6.8,24.0,6.8,1,PEPSI,10,0.563
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,3,COCA,10,0.5542
7501031311620,Refresco Pepsi 500 ml botella No Retornable cola,6.5,23.0,6.5,2,PEPSI,11,0.6003
7501022014257,PEPSI KICK 500 ML,6.0,21.0,6.0,1,PEPSI,11,0.6118
7501031302741,Refresco de Cola Pepsi 400 ml bote No retornable,5.8,21.0,5.8,2,PEPSI,11,0.6318
7501055320639,Coca Cola SA 600 ml NR,6.9,24.2,6.9,1,COCA,11,0.5979
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,1,COCA,11,0.5542
7501055332175,Coca Cola Regular Chubby 355ml Pet,6.5,16.5,6.5,1,COCA,11,0.6436
7501022016008,Mirinda RA 400ml PET 12,5.8,21.0,5.8,1,MIRINDA,12,0.6651
7501022015438,Pepsi Kick SG 473 Ml Lata 12 XD,6.6,16.3,6.6,2,PEPSI,12,0.6627
7501022009277,Refresco Pepsi 473ml lata,6.7,16.0,6.7,3,PEPSI,12,0.6667
