UPC,ITEM_DESC,ANCHO,ALTO,PROFUNDO,NUM_FRENTES,MARCA,CHAROLA,E_CHAROLA_NORM
7501055335060,Coca Cola 2.75lts,12.5,35.9,12.5,1,COCA,1,0.4318
7501055310227,Refresco Coca-Cola 2.5 lt botella retornable cola,11.5,36.7,11.5,1,COCA,1,0.4318
7501055300952,Refresco CocaCola 1 1/4 lt botella Retornable,9.1,31.0,9.1,1,COCA,2,0.4773
7501055313532,Refresco Coca Cola 1.75L NR,9.5,34.1,9.5,1,COCA,2,0.4773
7501055302925,Refresco CocaCola 2 lt botella No Retornable cola,10.0,34.7,10.0,1,COCA,2,0.4773
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,1,COCA,3,0.5379
7501055332175,Coca Cola Regular Chubby 355ml Pet,6.5,16.5,6.5,1,COCA,4,0.5985
7501055356256,Coca Cola Sin Azucar Chubby 355ml Pet,6.5,16.5,6.5,1,COCA,4,0.5682
7501055302086,Refresco CocaCola 500 ml botella vidrio No Retornable cola,6.9,23.5,6.9,1,COCA,4,0.5682
7501055365395,CocaCola Light lata 355 ML NR Sleek Can,5.8,15.8,5.8,1,COCA,5,0.6136
7501055361540,CocaCola Original lata 355 ML NR Sleek Can,5.8,15.8,5.8,1,COCA,5,0.6136
7501055361557,CocaCola Sin Azucar lata 355 ML NR Sleek Can,5.8,15.8,5.8,1,COCA,5,0.6136
7501055355310,Coca Cola 250 ml PET NR,5.6,17.0,5.6,1,COCA,5,0.6136
7501055304745,Refresco CocaCola 3 lt botella No Retornable cola,11.3,36.7,11.3,1,COCA,6,0.4318
7501055349555,Coca Cola Sin Azucar 1.75L,9.5,34.1,9.5,1,COCA,7,0.4773
7501055321681,Coca Cola SA 2.5 L NR,10.0,37.0,10.0,1,COCA,7,0.4773
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,1,COCA,8,0.5379
7501055386321,Cherry Coke 600ml PNR,7.1,24.4,7.1,1,OTRO,8,0.5227
75004699,Refresco CocaCola 500 ml botella vidrio Retornable,6.6,28.5,6.6,1,COCA,8,0.5227
7501055305346,Refresco CocaCola 1 lt botella No Retornable cola light,8.4,27.5,8.4,1,COCA,8,0.5227
7501055302086,Refresco CocaCola 500 ml botella vidrio No Retornable cola,6.9,23.5,6.9,1,COCA,9,0.5682
7501055320639,Coca Cola SA 600 ml NR,6.9,24.2,6.9,1,COCA,9,0.5682
7501055305339,Refresco CocaCola 600 ml botella No Retornable cola light,6.9,24.2,6.9,1,COCA,9,0.5682
