UPC,ITEM_DESC,ANCHO,ALTO,PROFUNDO,NUM_FRENTES,MARCA,CHAROLA,E_CHAROLA_NORM
7501055304745,Refresco CocaCola 3 lt botella No Retornable cola,11.3,36.7,11.3,3,COCA,1,0.4017
7501055310227,Refresco Coca-Cola 2.5 lt botella retornable cola,11.5,36.7,11.5,1,COCA,1,0.414
7501055313532,Refresco Coca Cola 1.75L NR,9.5,34.1,9.5,1,COCA,2,0.4439
7501055302925,Refresco CocaCola 2 lt botella No Retornable cola,10.0,34.7,10.0,2,COCA,2,0.4354
7501055310227,Refresco Coca-Cola 2.5 lt botella retornable cola,11.5,36.7,11.5,1,COCA,2,0.414
7501055304745,Refresco CocaCola 3 lt botella No Retornable cola,11.3,36.7,11.3,1,COCA,2,0.4017
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,1,COCA,3,0.5456
75004699,Refresco CocaCola 500 ml botella vidrio Retornable,6.6,28.5,6.6,1,COCA,3,0.5101
7501055302451,Refresco CocaCola 1 lt botella No Retornable cola,8.4,27.5,8.4,1,COCA,3,0.4963
7501055313525,Refresco Coca Cola 1.25 lts No Retornable:Regular,8.5,30.0,8.5,1,COCA,3,0.5
7501055326785,Coca Cola SA 125 L NR,8.5,30.0,8.5,1,COCA,3,0.5
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,1,COCA,4,0.5456
7501055305339,Refresco CocaCola 600 ml botella No Retornable cola light,6.9,24.2,6.9,1,COCA,4,0.5726
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,2,COCA,4,0.5456
7501055332175,Coca Cola Regular Chubby 355ml Pet,6.5,16.5,6.5,1,COCA,5,0.6257
7501055356256,Coca Cola Sin Azucar Chubby 355ml Pet,6.5,16.5,6.5,1,COCA,5,0.6061
7501055320684,Coca Cola SA 500 ml VNR,6.9,23.5,6.9,1,COCA,5,0.6
7501055320639,Coca Cola SA 600 ml NR,6.9,24.2,6.9,1,COCA,5,0.5859
7501055302086,Refresco CocaCola 500 ml botella vidrio No Retornable cola,6.9,23.5,6.9,1,COCA,5,0.593
7501055320639,Coca Cola SA 600 ml NR,6.9,24.2,6.9,1,COCA,5,0.5859
7501055305339,Refresco CocaCola 600 ml botella No Retornable cola light,6.9,24.2,6.9,1,COCA,5,0.5726
7501055320622,Coca Cola SA 355 ml lata,6.6,12.2,6.6,1,COCA,6,0.65
7501055361540,CocaCola Original lata 355 ML NR Sleek Can,5.8,15.8,5.8,1,COCA,6,0.6402
7501055300075,Refresco CocaCola 355 ml lata,6.6,12.2,6.6,1,COCA,6,0.65
7501055355310,Coca Cola 250 ml PET NR,5.6,17.0,5.6,2,COCA,6,0.6432
7501055354672,Coca-Cola 235ml VNR,5.3,18.4,5.3,1,COCA,6,0.6388
7501055313594,Refresco Coca-Cola 473 ml lata:Cola:regular,6.6,15.8,6.6,1,COCA,6,0.6402
7501055310968,Refresco Coca-Cola No Retornable 450 ml botella:regular,6.5,21.5,6.5,1,COCA,6,0.609
7501055304745,Refresco CocaCola 3 lt botella No Retornable cola,11.3,36.7,11.3,1,COCA,7,0.4017
7501055305247,Refresco CocaCola 2.5 lt botella No Retornable cola,10.9,36.9,10.9,1,COCA,7,0.4064
7501055329465,REFRESCO COCACOLA ZERO 3 LT BOTELLA NR,12.5,34.0,12.5,1,COCA,7,0.4173
7501031311682,Refresco Pepsi 1.5 L NR:Regular,8.3,33.0,8.3,2,PEPSI,7,0.4368
7501055321681,Coca Cola SA 2.5 L NR,10.0,37.0,10.0,1,COCA,8,0.4203
7501031311682,Refresco Pepsi 1.5 L NR:Regular,8.3,33.0,8.3,1,PEPSI,8,0.4368
7501031311606,Refresco Pepsi 2 Lt botella No Retornable cola,10.0,35.0,10.0,1,PEPSI,8,0.4432
7501031310258,Refresco Pepsi 2.5 lt botella No Retornable:cola,11.0,37.5,11.0,1,PEPSI,8,0.4461
7501031310098,Refresco Pepsi 3 lt botella No Retornable:cola,12.5,37.5,12.5,1,PEPSI,8,0.4473
7501055302451,Refresco CocaCola 1 lt botella No Retornable cola,8.4,27.5,8.4,1,COCA,9,0.4963
7501031310012,Refresco Pepsi 600 ml botella No Retornable cola,6.7,25.0,6.7,2,PEPSI,9,0.513
7501031311644,Refresco sabor cola Pepsi 1 lto botella no retornable:Regular,8.0,28.0,8.0,2,PEPSI,9,0.4993
7501055305629,Sprite Lima limon 600ml NR,7.1,23.2,7.1,1,SPRITE,9,0.5129
7501022014585,Seven up Lima limon 600ml NR,6.7,25.0,6.7,1,OTRO,9,0.536
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,1,COCA,10,0.5456
7501022013052,PEPSI BLACK 600ML,6.8,24.0,6.8,1,PEPSI,10,0.5558
7501031312559,Refresco Pepsi 600 ml botella No Retornable cola light,6.7,25.0,6.7,1,PEPSI,10,0.5432
7501031310012,Refresco Pepsi 600 ml botella No Retornable cola,6.7,25.0,6.7,1,PEPSI,10,0.513
7501055339983,Sidral Mundet Manzana 600ml NR,7.1,23.2,7.1,1,MUNDET,10,0.5291
7501055303779,Fanta Naranja 600ml NR,7.1,23.2,7.1,1,FANTA,10,0.5629
7501022014912,Mirinda 600mls RA,6.6,25.0,6.6,1,MIRINDA,10,0.5573
7501055320639,Coca Cola SA 600 ml NR,6.9,24.2,6.9,1,COCA,11,0.5859
7501031302741,Refresco de Cola Pepsi 400 ml bote No retornable,5.8,21.0,5.8,1,PEPSI,11,0.6165
7501022014257,PEPSI KICK 500 ML,6.0,21.0,6.0,2,PEPSI,11,0.6026
7501031311620,Refresco Pepsi 500 ml botella No Retornable cola,6.5,23.0,6.5,1,PEPSI,11,0.5873
7501055303779,Fanta Naranja 600ml NR,7.1,23.2,7.1,2,FANTA,11,0.5629
7501055332175,Coca Cola Regular Chubby 355ml Pet,6.5,16.5,6.5,1,COCA,12,0.6257
7501022009277,Refresco Pepsi 473ml lata,6.7,16.0,6.7,1,PEPSI,12,0.6493
7501022015438,Pepsi Kick SG 473 Ml Lata 12 XD,6.6,16.3,6.6,1,PEPSI,12,0.646
7501022009277,Refresco Pepsi 473ml lata,6.7,16.0,6.7,1,PEPSI,12,0.6493
7501022015438,Pepsi Kick SG 473 Ml Lata 12 XD,6.6,16.3,6.6,1,PEPSI,12,0.646
7501055308156,Refresco Fanta 250 ml botella No Retornablefresa,5.5,17.0,5.5,1,FANTA,12,0.6551
7501055307678,Refresco Fanta 250 ml botella No Retornable naranja,5.5,17.0,5.5,1,FANTA,12,0.6345
7501055343560,Refresco Sidral Mundet 250 ml NR,6.0,15.6,6.0,1,MUNDET,12,0.6375
7501055304806,Sprite Lima limon 3L NR,11.2,35.9,11.2,2,SPRITE,13,0.4183
7501073839861,Penafiel Naranjada 2 lt NR,10.3,34.1,10.3,3,PENAFIEL,13,0.4568
7501031310098,Refresco Pepsi 3 lt botella No Retornable:cola,12.5,37.5,12.5,2,PEPSI,14,0.4473
7501055340002,Sidral Mundet Manzana 2L NR,10.0,34.7,10.0,2,MUNDET,14,0.4378
7501055305650,Sprite Lima limon 2L NR,10.0,33.8,10.0,1,SPRITE,14,0.4207
7501055305629,Sprite Lima limon 600ml NR,7.1,23.2,7.1,1,SPRITE,15,0.5129
7501505630073,Sangria casera Original 600ml NR,7.0,24.0,7.0,2,OTRO,15,0.508
7501198350418,Dr Pepper Original 600ml NR,6.6,24.9,6.6,1,DR PEPPER,15,0.5295
7501198355581,Dr Pepper Cream soda 600ml NR,8.9,24.2,8.9,1,DR PEPPER,15,0.5064
7501073839212,Penafiel Twist Limon 1 lt NR,8.0,27.9,8.0,1,PENAFIEL,15,0.5017
7501071120183,Squirt Toronja 600ml NR,6.7,25.0,6.7,1,SQUIRT,15,0.5102
7501055339983,Sidral Mundet Manzana 600ml NR,7.1,23.2,7.1,1,MUNDET,16,0.5291
7501022014912,Mirinda 600mls RA,6.6,25.0,6.6,1,MIRINDA,16,0.5573
7501073841925,Penafiel Pinada 600ml NR,6.7,24.5,6.7,2,PENAFIEL,16,0.5559
