UPC,ITEM_DESC,ANCHO,ALTO,PROFUNDO,NUM_FRENTES,MARCA,CHAROLA,E_CHAROLA_NORM
7501073831988,PENAFIEL MANZANITA 2 LT NR,10.3,34.1,10.3,1,PENAFIEL,1,0.0714
792313000562,REFRESCO JAROCHITO FRESA 3L NR,12.2,37.0,12.2,1,OTRO,1,0.0714
792313001002,REFRESCO ZARAZA VARGAS 3L NR,12.2,37.0,12.2,1,OTRO,1,0.0714
7501031360161,REFRESCO MANZANITA SOL 2 LT BOTELLA NO RETORNABLE MANZANA,10.0,35.0,10.0,1,OTRO,1,0.0714
7501073800908,PENAFIEL MINERAL 2 LT NR,10.3,34.1,10.3,1,PENAFIEL,2,0.1429
7501073841949,PENAFIEL PINADA 2 LTS,10.3,34.1,10.3,1,PENAFIEL,2,0.1429
7501073839861,PENAFIEL NARANJADA 2 LT NR,10.3,34.1,10.3,1,PENAFIEL,2,0.1429
7501441604213,REFRESCO JARRITOS 2 LT NR:TAMARINDO,9.5,35.0,9.5,1,OTRO,2,0.1429
7501071120077,REFRESCO SQUIRT 2 LT BOTELLA NO RETORNABLE TORONJA,10.0,35.0,10.0,1,SQUIRT,2,0.1429
7501031311606,REFRESCO PEPSI 2 LT BOTELLA NO RETORNABLE COLA,10.0,35.0,10.0,1,PEPSI,3,0.2143
7501031310098,REFRESCO PEPSI 3 LT BOTELLA NO RETORNABLE:COLA,12.5,37.5,12.5,1,PEPSI,3,0.2143
7501055304790,REFRESCO FANTA 3 LT BOTELLA NO RETORNABLE NARANJA,11.7,35.8,11.7,1,FANTA,3,0.2143
7501055304813,REFRESCO FRESCA 3 LT BOTELLA NO RETORNABLE:TORONJA,11.7,35.8,11.7,1,FRESCA,3,0.2143
7501031311682,REFRESCO PEPSI 1.5 L NR:REGULAR,8.3,33.5,8.3,1,PEPSI,4,0.2857
7501055305742,AGUA MINERAL CIEL 2 LT BOTELLA NO RETORNABLE,10.4,33.7,10.4,1,CIEL,4,0.2857
21136010480,AGUA MINERAL TOPO CHICO 1.5 LT BOTELLA NO RETORNABLE,9.7,31.0,9.7,1,TOPO CHICO,4,0.2857
7501055303885,REFRESCO FRESCA 2 LT BOTELLA NO RETORNABLE TORONJA,10.4,33.8,10.4,1,FRESCA,4,0.2857
7501055340002,REFRESCO SIDRAL MUNDET 2LTS. NR PET,10.4,33.7,10.4,1,MUNDET,4,0.2857
792313000661,JAROCHITO FRESA 600ML NR,6.7,25.0,6.7,1,OTRO,5,0.3571
