UPC,ITEM_DESC,ANCHO,ALTO,PROFUNDO,NUM_FRENTES,MARCA,CHAROLA,E_CHAROLA_NORM
7501071120077,Squirt Toronja 2L NR,10.0,35.0,10.0,1,SQUIRT,1,0.5185
7501071120176,Squirt Toronja 1.5L NR,9.0,33.0,9.0,1,SQUIRT,1,0.5
7501055311804,Fresca Toronja 2.5L NR,11.5,36.7,11.5,1,FRESCA,1,0.5
7501055301058,Fresca Toronja 1.75L NR,9.95,33.0,9.95,1,FRESCA,1,0.5
7501073800908,Penafiel Mineral 2 lt NR,10.3,34.1,10.3,1,PENAFIEL,2,0.537
21136010480,Agua mineral Topo Chico 1.5 lt botella No Retornable,9.7,31.0,9.7,1,TOPO CHICO,2,0.537
7501071120077,Squirt Toronja 2L NR,10.0,35.0,10.0,1,SQUIRT,2,0.5185
7500326103407,Barrilitos Durazno 2L NR,9.5,34.5,9.5,2,BARRILITOS,3,0.4444
7501022014622,Seven up Lima limon 2L NR,10.0,35.0,10.0,1,OTRO,3,0.4444
7501022015544,Manzanita Sol Manzana 2L NR,10.2,35.0,10.2,1,OTRO,3,0.463
7501055311828,Sprite Lima limon 2.5L NR,11.5,36.7,11.5,1,SPRITE,4,0.4815
7501022015544,Manzanita Sol Manzana 2L NR,10.2,35.0,10.2,1,OTRO,4,0.463
7501022008584,Refresco Pepsi Light 15L NR,8.3,33.5,8.3,1,PEPSI,4,0.4815
7501055305650,Sprite Lima limon 2L NR,10.0,33.8,10.0,1,SPRITE,4,0.4815
7501055340002,Sidral Mundet Manzana 2L NR,10.0,34.7,10.0,1,MUNDET,4,0.4815
7501055303786,Fresca Toronja 600ml NR,7.1,23.2,7.1,1,FRESCA,5,0.5185
21136010541,Agua mineral Topo Chico 600 ml botella No Retornable,7.8,20.6,7.8,1,TOPO CHICO,5,0.5556
7500326103452,Barrilitos Pi?a 750ml NR,7.2,27.8,7.2,1,BARRILITOS,5,0.5185
7500326103445,Barrilitos Durazno 750ml NR,7.2,27.8,7.2,2,BARRILITOS,5,0.5185
7501022014585,Seven up Lima limon 600ml NR,6.7,25.0,6.7,1,OTRO,5,0.5185
21136010541,Agua mineral Topo Chico 600 ml botella No Retornable,7.8,20.6,7.8,1,TOPO CHICO,6,0.5556
7501073841925,Penafiel Pinada 600ml NR,6.7,24.5,6.7,1,PENAFIEL,6,0.5463
7501073831902,Penafiel Fresa 600ml NR,6.7,24.5,6.7,1,PENAFIEL,6,0.5556
7501073839854,Penafiel Naranjada 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,6,0.5778
7501022015377,Manzanita Sol PET 600ml,6.6,25.0,6.6,1,OTRO,6,0.5556
7501073831469,Penafiel Twist Limon 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,7,0.5833
7501073830509,Penafiel Mineral 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,7,0.5926
21136010374,TOPO CHICO 355ML NR,6.2,24.5,6.2,1,TOPO CHICO,7,0.5926
7501022015513,Manzanita Sol Manzana 400ml NR,5.8,22.0,5.8,1,OTRO,7,0.5648
7501073839854,Penafiel Naranjada 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,7,0.5778
7501073839885,Penafiel Limonada 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,7,0.5926
7501031310098,Refresco Pepsi 3 lt botella No Retornable:cola,12.5,37.5,12.5,1,PEPSI,8,0.4568
7501022013069,Pepsi Black 1.5lts,8.3,33.5,8.3,1,PEPSI,8,0.4444
7501031311606,Refresco Pepsi 2 Lt botella No Retornable cola,10.0,35.0,10.0,1,PEPSI,8,0.4444
7501031310098,Refresco Pepsi 3 lt botella No Retornable:cola,12.5,37.5,12.5,1,PEPSI,9,0.4568
7501031310258,Refresco Pepsi 2.5 lt botella No Retornable:cola,11.0,37.5,11.0,1,PEPSI,9,0.4568
7501055328055,Escuis Manzana 2L NR,10.0,33.8,10.0,1,OTRO,9,0.4815
7501055327973,Escuis Fresa 2L NR,10.0,33.8,10.0,1,OTRO,9,0.4815
7501022014912,Mirinda 600mls RA,6.6,25.0,6.6,1,MIRINDA,10,0.5309
7501022014585,Seven up Lima limon 600ml NR,6.7,25.0,6.7,1,OTRO,10,0.5185
7501022014912,Mirinda 600mls RA,6.6,25.0,6.6,1,MIRINDA,10,0.5309
7501022014585,Seven up Lima limon 600ml NR,6.7,25.0,6.7,1,OTRO,10,0.5185
7501055314096,Joya Ponche 600ml NR,7.0,24.5,7.0,1,JOYA,10,0.5185
7501031311644,Refresco sabor cola Pepsi 1 lto botella no retornable:Regular,8.0,28.0,8.0,1,PEPSI,10,0.5185
7501055314119,Joya Durazno 600ml NR,7.0,24.5,7.0,1,JOYA,10,0.5185
7501022015377,Manzanita Sol PET 600ml,6.6,25.0,6.6,1,OTRO,11,0.5556
7501022015513,Manzanita Sol Manzana 400ml NR,5.8,22.0,5.8,1,OTRO,11,0.5648
7501022014912,Mirinda 600mls RA,6.6,25.0,6.6,1,MIRINDA,11,0.5309
7501022015377,Manzanita Sol PET 600ml,6.6,25.0,6.6,1,OTRO,11,0.5556
21136414547,Refresco Topo Chico Sangria 600ml Botella NR,7.0,24.5,7.0,1,TOPO CHICO,11,0.5741
7501031312559,Refresco Pepsi 600 ml botella No Retornable cola light,6.7,25.0,6.7,1,PEPSI,11,0.5556
7501031310012,Refresco Pepsi 600 ml botella No Retornable cola,6.7,25.0,6.7,1,PEPSI,11,0.5407
7501022013885,Seven up Lima limon 400ml NR,5.8,21.0,5.8,2,OTRO,12,0.5926
7501022016008,Mirinda RA 400ml PET 12,5.8,21.0,5.8,1,MIRINDA,12,0.5926
21136414547,Refresco Topo Chico Sangria 600ml Botella NR,7.0,24.5,7.0,1,TOPO CHICO,12,0.5741
21136010206,Refresco Joya 355 ml botella Retornable,6.5,25.0,6.5,1,JOYA,12,0.5926
7501055303779,Fanta Naranja 600ml NR,7.1,23.2,7.1,1,FANTA,12,0.5679
7501055308156,Refresco Fanta 250 ml botella No Retornablefresa,5.5,17.0,5.5,1,FANTA,12,0.5926
7501022014257,PEPSI KICK 500 ML,6.0,21.0,6.0,1,PEPSI,12,0.5926
7501022013069,Pepsi Black 1.5lts,8.3,33.5,8.3,1,PEPSI,13,0.4444
7501031310258,Refresco Pepsi 2.5 lt botella No Retornable:cola,11.0,37.5,11.0,1,PEPSI,13,0.4568
7501031311606,Refresco Pepsi 2 Lt botella No Retornable cola,10.0,35.0,10.0,1,PEPSI,13,0.4444
7501022013069,Pepsi Black 1.5lts,8.3,33.5,8.3,1,PEPSI,13,0.4444
7501031311682,Refresco Pepsi 1.5 L NR:Regular,8.3,33.0,8.3,1,PEPSI,14,0.4568
7501031305629,Refresco Pepsi Regular 2.5L Retornable,11.1,36.32,11.1,1,PEPSI,14,0.463
7501055305421,Refresco CocaCola 25 lt botella No Retornable light,11.5,36.7,11.5,1,COCA,14,0.463
7501055349555,Coca Cola Sin Azucar 1.75L,9.5,34.1,9.5,1,COCA,14,0.4815
7501031311644,Refresco sabor cola Pepsi 1 lto botella no retornable:Regular,8.0,28.0,8.0,1,PEPSI,15,0.5185
7501031310012,Refresco Pepsi 600 ml botella No Retornable cola,6.7,25.0,6.7,1,PEPSI,15,0.5407
7501022016169,Sting Fresa 400 Ml Pet 12,6.2,22.0,6.2,1,OTRO,15,0.5185
7501055307043,Refresco Coca-Cola 4 pack 600 ml:regular,14.0,23.9,14.0,1,COCA,15,0.5185
7501055302451,Refresco CocaCola 1 lt botella No Retornable cola,8.4,27.5,8.4,1,COCA,15,0.5185
7501031312559,Refresco Pepsi 600 ml botella No Retornable cola light,6.7,25.0,6.7,1,PEPSI,16,0.5556
7501022013052,PEPSI BLACK 600ML,6.8,24.0,6.8,1,PEPSI,16,0.5556
7501031311620,Refresco Pepsi 500 ml botella No Retornable cola,6.5,23.0,6.5,1,PEPSI,16,0.5679
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,1,COCA,16,0.5481
7501055386321,Cherry Coke 600ml PNR,7.1,24.4,7.1,1,OTRO,16,0.5556
7501031302741,Refresco de Cola Pepsi 400 ml bote No retornable,5.8,21.0,5.8,1,PEPSI,17,0.5926
7501022015438,Pepsi Kick SG 473 Ml Lata 12 XD,6.6,16.3,6.6,1,PEPSI,17,0.5926
7501022009277,Refresco Pepsi 473ml lata,6.7,16.0,6.7,1,PEPSI,17,0.5926
75005771,Refresco CocaCola 355 ml botella Retornable,6.2,24.5,6.2,1,COCA,17,0.5833
7501055310968,Refresco Coca-Cola No Retornable 450 ml botella:regular,6.5,21.5,6.5,1,COCA,17,0.5926
75005771,Refresco CocaCola 355 ml botella Retornable,6.2,24.5,6.2,1,COCA,17,0.5833
7501055304745,Refresco CocaCola 3 lt botella No Retornable cola,11.3,36.7,11.3,1,COCA,18,0.4667
7501055310227,Refresco Coca-Cola 2.5 lt botella retornable cola,11.5,36.7,11.5,1,COCA,18,0.4444
7501055305247,Refresco CocaCola 2.5 lt botella No Retornable cola,10.9,36.9,10.9,1,COCA,19,0.4815
7501055304745,Refresco CocaCola 3 lt botella No Retornable cola,11.3,36.7,11.3,1,COCA,19,0.4667
7501055302451,Refresco CocaCola 1 lt botella No Retornable cola,8.4,27.5,8.4,1,COCA,20,0.5185
