UPC,ITEM_DESC,ANCHO,ALTO,PROFUNDO,NUM_FRENTES,MARCA,CHAROLA,E_CHAROLA_NORM
7501073800908,Penafiel Mineral 2 lt NR,10.3,34.1,10.3,1,PENAFIEL,1,0.44
21136010480,Agua mineral Topo Chico 1.5 lt botella No Retornable,9.7,31.0,9.7,1,TOPO CHICO,1,0.44
7501071120077,Squirt Toronja 2L NR,10.0,35.0,10.0,1,SQUIRT,1,0.44
7501071120176,Squirt Toronja 1.5L NR,9.0,33.0,9.0,1,SQUIRT,2,0.48
7501073840843,Penafiel Sifon 1.75lt NR,10.3,37.5,10.3,1,PENAFIEL,2,0.48
7501073839861,Penafiel Naranjada 2 lt NR,10.3,34.1,10.3,1,PENAFIEL,2,0.48
7501073831964,Penafiel Fresa 2L NR,10.3,34.1,10.3,1,PENAFIEL,2,0.48
7501073833722,Schweppes Ginger Ale 600 ml NR,6.6,24.9,6.6,1,SCHWEPPES,3,0.52
7501198355581,Dr Pepper Cream soda 600ml NR,8.9,24.2,8.9,1,DR PEPPER,3,0.52
7501198350418,Dr Pepper Original 600ml NR,6.6,24.9,6.6,1,DR PEPPER,3,0.54
21136010541,Agua mineral Topo Chico 600 ml botella No Retornable,7.8,20.6,7.8,1,TOPO CHICO,4,0.56
7501073831469,Penafiel Twist Limon 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,4,0.58
7501198350418,Dr Pepper Original 600ml NR,6.6,24.9,6.6,1,DR PEPPER,4,0.54
7501073841925,Penafiel Pinada 600ml NR,6.7,24.5,6.7,1,PENAFIEL,4,0.56
7501073831469,Penafiel Twist Limon 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,5,0.58
7501073830509,Penafiel Mineral 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,5,0.6
7501073831926,Penafiel Manzana 600ml NR,6.7,24.5,6.7,1,PENAFIEL,5,0.6
7501073831902,Penafiel Fresa 600ml NR,6.7,24.5,6.7,1,PENAFIEL,5,0.6
7501073839854,Penafiel Naranjada 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,5,0.6
7501198355574,Dr Pepper Cream soda 355ml Lata ,5.7,15.6,5.7,1,DR PEPPER,5,0.6
7501031310098,Refresco Pepsi 3 lt botella No Retornable:cola,12.5,37.5,12.5,1,PEPSI,6,0.44
7501031310258,Refresco Pepsi 2.5 lt botella No Retornable:cola,11.0,37.5,11.0,1,PEPSI,6,0.44
7501031311606,Refresco Pepsi 2 Lt botella No Retornable cola,10.0,35.0,10.0,1,PEPSI,6,0.44
7501022013069,Pepsi Black 1.5lts,8.3,33.5,8.3,1,PEPSI,6,0.44
7501055353163,JOYA DURAZNO 1.75L,9.4,34.2,9.4,1,JOYA,7,0.48
7501055339402,Joya Ponche 3L NR,12.5,34.0,12.5,1,JOYA,7,0.48
7501055339396,Joya Manzana 3L NR,12.5,34.0,12.5,1,JOYA,7,0.48
7501031312771,Refresco Pepsi 2.5 lt botella No Retornable:cola:light,11.0,37.5,11.0,1,PEPSI,7,0.48
7501022014585,Seven up Lima limon 600ml NR,6.7,25.0,6.7,1,OTRO,8,0.52
7501022014912,Mirinda 600mls RA,6.6,25.0,6.6,1,MIRINDA,8,0.52
7501055314096,Joya Ponche 600ml NR,7.0,24.5,7.0,1,JOYA,8,0.52
7501055314133,Joya Manzana 600ml NR,7.0,24.5,7.0,1,JOYA,8,0.52
7501055314119,Joya Durazno 600ml NR,7.0,24.5,7.0,1,JOYA,8,0.52
7501055305629,Sprite Lima limon 600ml NR,7.1,23.2,7.1,1,SPRITE,8,0.52
7501031312672,Refresco sabor cola Pepsi 1lt NR Light,8.3,28.5,8.3,1,PEPSI,8,0.52
7501022015377,Manzanita Sol PET 600ml,6.6,25.0,6.6,1,OTRO,9,0.56
7501022015513,Manzanita Sol Manzana 400ml NR,5.8,22.0,5.8,1,OTRO,9,0.56
7501055303779,Fanta Naranja 600ml NR,7.1,23.2,7.1,1,FANTA,9,0.56
21136414547,Refresco Topo Chico Sangria 600ml Botella NR,7.0,24.5,7.0,1,TOPO CHICO,9,0.56
7501055379484,DEL VALLE FIZZ 600ML NARANJA,7.2,23.0,7.2,1,OTRO,9,0.56
7501055366316,Sprite Lima limon SA 600ml NR,7.1,22.9,7.1,1,SPRITE,9,0.56
7501031310012,Refresco Pepsi 600 ml botella No Retornable cola,6.7,25.0,6.7,1,PEPSI,9,0.54
7501022013885,Seven up Lima limon 400ml NR,5.8,21.0,5.8,1,OTRO,10,0.6
7501022016008,Mirinda RA 400ml PET 12,5.8,21.0,5.8,1,MIRINDA,10,0.6
7501055328420,Joya Manzana 400ml NR,6.0,21.5,6.0,1,JOYA,10,0.6
7501055328321,Fanta Naranja 400ml NR,6.0,21.5,6.0,1,FANTA,10,0.6
7501055311323,SPRITE 250ML,6.0,15.6,6.0,1,SPRITE,10,0.6
7501055308156,Refresco Fanta 250 ml botella No Retornablefresa,5.5,17.0,5.5,1,FANTA,10,0.6
7501031311620,Refresco Pepsi 500 ml botella No Retornable cola,6.5,23.0,6.5,1,PEPSI,10,0.58
7501022014257,PEPSI KICK 500 ML,6.0,21.0,6.0,1,PEPSI,10,0.6
7501031311682,Refresco Pepsi 1.5 L NR:Regular,8.3,33.0,8.3,1,PEPSI,11,0.44
7501031305629,Refresco Pepsi Regular 2.5L Retornable,11.1,36.32,11.1,1,PEPSI,11,0.44
7501055305421,Refresco CocaCola 25 lt botella No Retornable light,11.5,36.7,11.5,1,COCA,12,0.48
7501055321681,Coca Cola SA 2.5 L NR,10.0,37.0,10.0,1,COCA,12,0.48
7501031311644,Refresco sabor cola Pepsi 1 lto botella no retornable:Regular,8.0,28.0,8.0,1,PEPSI,13,0.52
7501031310012,Refresco Pepsi 600 ml botella No Retornable cola,6.7,25.0,6.7,1,PEPSI,13,0.54
7501055313525,Refresco Coca Cola 1.25 lts No Retornable:Regular,8.5,30.0,8.5,1,COCA,13,0.52
7501031312559,Refresco Pepsi 600 ml botella No Retornable cola light,6.7,25.0,6.7,1,PEPSI,14,0.56
7501022013052,PEPSI BLACK 600ML,6.8,24.0,6.8,1,PEPSI,14,0.56
7501031311620,Refresco Pepsi 500 ml botella No Retornable cola,6.5,23.0,6.5,1,PEPSI,14,0.58
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,1,COCA,14,0.5467
7501031302741,Refresco de Cola Pepsi 400 ml bote No retornable,5.8,21.0,5.8,1,PEPSI,15,0.6
7501022015438,Pepsi Kick SG 473 Ml Lata 12 XD,6.6,16.3,6.6,1,PEPSI,15,0.6
7501022009277,Refresco Pepsi 473ml lata,6.7,16.0,6.7,1,PEPSI,15,0.6
75005771,Refresco CocaCola 355 ml botella Retornable,6.2,24.5,6.2,1,COCA,15,0.5867
7501055305247,Refresco CocaCola 2.5 lt botella No Retornable cola,10.9,36.9,10.9,1,COCA,16,0.44
7501055304745,Refresco CocaCola 3 lt botella No Retornable cola,11.3,36.7,11.3,1,COCA,16,0.44
7501055321681,Coca Cola SA 2.5 L NR,10.0,37.0,10.0,1,COCA,17,0.48
7501055349555,Coca Cola Sin Azucar 1.75L,9.5,34.1,9.5,1,COCA,17,0.48
