UPC,ITEM_DESC,ANCHO,ALTO,PROFUNDO,NUM_FRENTES,MARCA,CHAROLA,E_CHAROLA_NORM
7501055310227,Refresco Coca-Cola 2.5 lt botella retornable cola,11.5,36.7,11.5,1,COCA,1,0.4118
7501055304745,Refresco CocaCola 3 lt botella No Retornable cola,11.3,36.7,11.3,2,COCA,1,0.4118
7501055300594,Refresco Coca-Cola 1.5 lt botella Retornable:cola:regular,9.5,33.0,9.5,1,COCA,2,0.4706
7501055313532,Refresco Coca Cola 1.75L NR,9.5,34.1,9.5,1,COCA,2,0.4706
7501055302925,Refresco CocaCola 2 lt botella No Retornable cola,10.0,34.7,10.0,1,COCA,2,0.4706
7501055301300,Refresco CocaCola 2 lt botella Retornable,10.3,35.0,10.3,1,COCA,2,0.4706
7501055335060,Coca Cola 2.75lts,12.5,35.9,12.5,1,COCA,2,0.4706
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,1,COCA,3,0.5686
75004699,Refresco CocaCola 500 ml botella vidrio Retornable,6.6,28.5,6.6,1,COCA,3,0.5441
7501022016169,Sting Fresa 400 Ml Pet 12,6.2,22.0,6.2,1,OTRO,3,0.5294
7501022014257,PEPSI KICK 500 ML,6.0,21.0,6.0,1,PEPSI,3,0.5686
7501055302086,Refresco CocaCola 500 ml botella vidrio No Retornable cola,6.9,23.5,6.9,1,COCA,4,0.5882
7501055305339,Refresco CocaCola 600 ml botella No Retornable cola light,6.9,24.2,6.9,1,COCA,4,0.5882
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,2,COCA,4,0.5686
75004699,Refresco CocaCola 500 ml botella vidrio Retornable,6.6,28.5,6.6,1,COCA,4,0.5441
7501055305339,Refresco CocaCola 600 ml botella No Retornable cola light,6.9,24.2,6.9,1,COCA,4,0.5882
7501055300075,Refresco CocaCola 355 ml lata,6.6,12.2,6.6,1,COCA,5,0.6471
7501055361540,CocaCola Original lata 355 ML NR Sleek Can,5.8,15.8,5.8,1,COCA,5,0.6471
7501055313594,Refresco Coca-Cola 473 ml lata:Cola:regular,6.6,15.8,6.6,1,COCA,5,0.6471
7501055332175,Coca Cola Regular Chubby 355ml Pet,6.5,16.5,6.5,1,COCA,5,0.6324
7501055354672,Coca-Cola 235ml VNR,5.3,18.4,5.3,1,COCA,5,0.6471
7501055313594,Refresco Coca-Cola 473 ml lata:Cola:regular,6.6,15.8,6.6,1,COCA,5,0.6471
7501055332175,Coca Cola Regular Chubby 355ml Pet,6.5,16.5,6.5,1,COCA,5,0.6324
7501055304745,Refresco CocaCola 3 lt botella No Retornable cola,11.3,36.7,11.3,1,COCA,6,0.4118
7501055305247,Refresco CocaCola 2.5 lt botella No Retornable cola,10.9,36.9,10.9,1,COCA,6,0.4314
7501031311682,Refresco Pepsi 1.5 L NR:Regular,8.3,33.0,8.3,1,PEPSI,6,0.4559
7501031311682,Refresco Pepsi 1.5 L NR:Regular,8.3,33.0,8.3,1,PEPSI,7,0.4559
7501031311606,Refresco Pepsi 2 Lt botella No Retornable cola,10.0,35.0,10.0,1,PEPSI,7,0.4706
7501031310258,Refresco Pepsi 2.5 lt botella No Retornable:cola,11.0,37.5,11.0,1,PEPSI,7,0.4706
7501031310098,Refresco Pepsi 3 lt botella No Retornable:cola,12.5,37.5,12.5,1,PEPSI,7,0.4706
7501031311606,Refresco Pepsi 2 Lt botella No Retornable cola,10.0,35.0,10.0,1,PEPSI,7,0.4706
7501055302451,Refresco CocaCola 1 lt botella No Retornable cola,8.4,27.5,8.4,1,COCA,8,0.5294
7501022016169,Sting Fresa 400 Ml Pet 12,6.2,22.0,6.2,1,OTRO,8,0.5294
7501022013052,PEPSI BLACK 600ML,6.8,24.0,6.8,1,PEPSI,8,0.5588
7501031310012,Refresco Pepsi 600 ml botella No Retornable cola,6.7,25.0,6.7,1,PEPSI,8,0.5294
7501022014585,Seven up Lima limon 600ml NR,6.7,25.0,6.7,1,OTRO,8,0.5294
7501055305636,Sprite Lima limon 1L NR,8.5,28.5,8.5,1,SPRITE,8,0.5294
7500326103360,Se?orial Sangria 600ml NR,7.0,24.7,7.0,1,OTRO,8,0.5294
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,1,COCA,9,0.5686
7501031302741,Refresco de Cola Pepsi 400 ml bote No retornable,5.8,21.0,5.8,1,PEPSI,9,0.6078
7501022014257,PEPSI KICK 500 ML,6.0,21.0,6.0,1,PEPSI,9,0.5686
7501022013052,PEPSI BLACK 600ML,6.8,24.0,6.8,1,PEPSI,9,0.5588
7501022015377,Manzanita Sol PET 600ml,6.6,25.0,6.6,1,OTRO,9,0.5882
7501022014912,Mirinda 600mls RA,6.6,25.0,6.6,1,MIRINDA,9,0.5686
7501073841925,Penafiel Pinada 600ml NR,6.7,24.5,6.7,1,PENAFIEL,9,0.5882
7501022009277,Refresco Pepsi 473ml lata,6.7,16.0,6.7,2,PEPSI,10,0.6471
7501022015438,Pepsi Kick SG 473 Ml Lata 12 XD,6.6,16.3,6.6,1,PEPSI,10,0.6275
7501022009277,Refresco Pepsi 473ml lata,6.7,16.0,6.7,1,PEPSI,10,0.6471
7501022015438,Pepsi Kick SG 473 Ml Lata 12 XD,6.6,16.3,6.6,1,PEPSI,10,0.6275
7501022015858,7Up Citrus 600 Ml NR,7.8,20.0,7.8,1,OTRO,10,0.6176
7501055308156,Refresco Fanta 250 ml botella No Retornablefresa,5.5,17.0,5.5,1,FANTA,10,0.6471
7501022015544,Manzanita Sol Manzana 2L NR,10.2,35.0,10.2,1,OTRO,11,0.4118
7501022014622,Seven up Lima limon 2L NR,10.0,35.0,10.0,1,OTRO,11,0.4118
7501055304806,Sprite Lima limon 3L NR,11.2,35.9,11.2,1,SPRITE,11,0.4314
7501055321919,Agua ciel gasificada Sifon 1.75 Lt botella NR,10.8,33.4,10.8,1,CIEL,11,0.4118
7501277412617,Agua purificada Taxco 2 lt bote,10.5,33.8,10.5,1,OTRO,11,0.4559
793573950079,Red Cola 3Lt NR,12.0,36.0,12.0,1,OTRO,12,0.4706
7501031310098,Refresco Pepsi 3 lt botella No Retornable:cola,12.5,37.5,12.5,1,PEPSI,12,0.4706
7501055304790,Fanta Naranja 3L NR,11.2,35.9,11.2,1,FANTA,12,0.4706
7501055304806,Sprite Lima limon 3L NR,11.2,35.9,11.2,1,SPRITE,12,0.4314
7501022014912,Mirinda 600mls RA,6.6,25.0,6.6,1,MIRINDA,13,0.5686
7501022014585,Seven up Lima limon 600ml NR,6.7,25.0,6.7,1,OTRO,13,0.5294
7501505630073,Sangria casera Original 600ml NR,7.0,24.0,7.0,1,OTRO,13,0.5294
7501073830028,Penafiel Mineral 1 lt NR,8.0,27.9,8.0,1,PENAFIEL,13,0.5294
7501073831469,Penafiel Twist Limon 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,13,0.5882
21136010541,Agua mineral Topo Chico 600 ml botella No Retornable,7.8,20.6,7.8,1,TOPO CHICO,13,0.5735
7501071120183,Squirt Toronja 600ml NR,6.7,25.0,6.7,1,SQUIRT,13,0.5294
7501055305629,Sprite Lima limon 600ml NR,7.1,23.2,7.1,1,SPRITE,14,0.549
7501022015377,Manzanita Sol PET 600ml,6.6,25.0,6.6,1,OTRO,14,0.5882
7501022014912,Mirinda 600mls RA,6.6,25.0,6.6,1,MIRINDA,14,0.5686
7501198350418,Dr Pepper Original 600ml NR,6.6,24.9,6.6,1,DR PEPPER,14,0.5686
7501073830509,Penafiel Mineral 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,14,0.6324
7501073831469,Penafiel Twist Limon 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,14,0.5882
21136010541,Agua mineral Topo Chico 600 ml botella No Retornable,7.8,20.6,7.8,1,TOPO CHICO,14,0.5735
7501022016008,Mirinda RA 400ml PET 12,5.8,21.0,5.8,1,MIRINDA,15,0.6471
7501022013885,Seven up Lima limon 400ml NR,5.8,21.0,5.8,1,OTRO,15,0.6471
7501022015513,Manzanita Sol Manzana 400ml NR,5.8,22.0,5.8,1,OTRO,15,0.6471
7501073825208,Schweppes Tonic 296 ml NR,6.5,15.0,6.5,1,SCHWEPPES,15,0.6471
7501073830509,Penafiel Mineral 600 ml NR,6.4,24.7,6.4,2,PENAFIEL,15,0.6324
21136010541,Agua mineral Topo Chico 600 ml botella No Retornable,7.8,20.6,7.8,1,TOPO CHICO,15,0.5735
7501073839861,Penafiel Naranjada 2 lt NR,10.3,34.1,10.3,1,PENAFIEL,16,0.4706
7501055379941,FRESCA FUSION 2L NR,10.5,34.5,10.5,1,FRESCA,16,0.5
7501073840843,Penafiel Sifon 1.75lt NR,10.3,37.5,10.3,1,PENAFIEL,16,0.5
7501055303885,Fresca Toronja 2L NR,10.0,33.8,10.0,1,FRESCA,16,0.5
7501071120077,Squirt Toronja 2L NR,10.0,35.0,10.0,1,SQUIRT,16,0.5196
21136010480,Agua mineral Topo Chico 1.5 lt botella No Retornable,9.7,31.0,9.7,2,TOPO CHICO,17,0.5588
7501073800908,Penafiel Mineral 2 lt NR,10.3,34.1,10.3,2,PENAFIEL,17,0.5588
