UPC,ITEM_DESC,ANCHO,ALTO,PROFUNDO,NUM_FRENTES,MARCA,CHAROLA,E_CHAROLA_NORM
7501055310227,REFRESCO COCA-COLA 2.5 LT BOTELLA RETORNABLE COLA,11.5,36.7,11.5,1,COCA,1,0.3864
7501055304745,REFRESCO COCA-COLA 3 LT BOTELLA NO RETORNABLE COLA,11.3,36.7,11.3,2,COCA,1,0.3182
7501055305421,REFRESCO COCA-COLA 2.5 LT BOTELLA NO RETORNABLE LIGHT,11.5,36.7,11.5,1,COCA,1,0.2879
7501055300952,Coca Cola Original 1.25L RET,9.1,31.0,9.1,1,COCA,2,0.4091
7501055300594,REFRESCO COCA-COLA 1.5 LT BOTELLA RETORNABLE:COLA:REGULAR,9.5,33.0,9.5,1,COCA,2,0.4091
7501055302925,REFRESCO COCA-COLA 2 LT BOTELLA NO RETORNABLE COLA,10.0,34.7,10.0,2,COCA,2,0.3636
7501055302451,REFRESCO COCA-COLA 1 LT BOTELLA NO RETORNABLE COLA,8.4,27.5,8.4,1,COCA,3,0.3909
75004699,REFRESCO COCA-COLA 500 ML BOTELLA VIDRIO RETORNABLE,6.6,28.5,6.6,1,COCA,3,0.3485
7501055320646,COCA COLA SA 1 L NR,8.5,27.95,8.5,1,COCA,3,0.3485
7501055305346,REFRESCO COCA-COLA 1 LT BOTELLA NO RETORNABLE COLA LIGHT,8.4,27.5,8.4,1,COCA,3,0.3727
75007614,REFRESCO COCA-COLA 600 ML BOTELLA NO RETORNABLE COLA,6.9,24.2,6.9,1,COCA,4,0.4167
75005771,REFRESCO COCA-COLA 355 ML BOTELLA RETORNABLE,6.2,24.5,6.2,1,COCA,4,0.5
75007614,REFRESCO COCA-COLA 600 ML BOTELLA NO RETORNABLE COLA,6.9,24.2,6.9,1,COCA,4,0.4167
7501055320639,COCA COLA SA 600 ML NR,6.9,24.2,6.9,1,COCA,4,0.4015
7501055305339,REFRESCO COCA-COLA 600 ML BOTELLA NO RETORNABLE COLA LIGHT,6.9,24.2,6.9,1,COCA,4,0.3939
75007614,REFRESCO COCA-COLA 600 ML BOTELLA NO RETORNABLE COLA,6.9,24.2,6.9,1,COCA,5,0.4167
75009809,REFRESCO COCA-COLA 500 ML BOTELLA PLASTICO NO RETORNABLE COLA,6.6,23.5,6.6,1,COCA,5,0.4091
75007614,REFRESCO COCA-COLA 600 ML BOTELLA NO RETORNABLE COLA,6.9,24.2,6.9,1,COCA,5,0.4167
7501055320639,COCA COLA SA 600 ML NR,6.9,24.2,6.9,1,COCA,5,0.4015
7501055313594,REFRESCO COCA-COLA 473 ML LATA:COLA:REGULAR,6.6,15.8,6.6,1,COCA,6,0.2727
7501055300075,REFRESCO COCA-COLA 355 ML LATA,5.7,15.5,7.7,1,COCA,6,0.4697
7501055320622,COCA COLA SA 355 ML LATA,5.7,15.5,5.7,1,COCA,6,0.4848
7501055354672,COCA-COLA 235ML VNR,5.3,18.4,5.3,1,COCA,6,0.4848
7501055305391,REFRESCO COCA-COLA 355 ML LATA LIGHT,6.6,12.2,6.6,1,COCA,6,0.4848
7501055320622,COCA COLA SA 355 ML LATA,5.7,15.5,5.7,1,COCA,6,0.4848
7501055341344,REFRESCO COCA COLA 355ML NR PET,6.0,21.5,6.0,1,COCA,6,0.4848
7501055304790,REFRESCO FANTA 3 LT BOTELLA NO RETORNABLE NARANJA,11.2,35.9,11.2,1,FANTA,7,0.3636
7501055304806,REFRESCO SPRITE 3 LT BOTELLA NO RETORNABLE LIMA-LIMON,11.2,35.9,11.2,1,SPRITE,7,0.3545
7501055311828,REFRESCO SPRITE 2.5 LT BOTELLA NO RETONABLE:LIMA-LIMON,11.5,36.7,11.5,1,SPRITE,7,0.3182
7501055304806,REFRESCO SPRITE 3 LT BOTELLA NO RETORNABLE LIMA-LIMON,11.2,35.9,11.2,1,SPRITE,7,0.3545
7501055371747,REFRESCO FRESCA 1.35 LT,9.0,32.0,9.0,1,FRESCA,7,0.3636
7501055302925,REFRESCO COCA-COLA 2 LT BOTELLA NO RETORNABLE COLA,10.0,34.7,10.0,1,COCA,8,0.3636
7501055305346,REFRESCO COCA-COLA 1 LT BOTELLA NO RETORNABLE COLA LIGHT,8.4,27.4,8.4,1,COCA,8,0.3727
7501055305360,REFRESCO COCA-COLA 2 LT BOTELLA NO RETORNABLE COLA LIGHT,10.0,34.7,10.0,1,COCA,8,0.3455
7501055303885,REFRESCO FRESCA 2 LT BOTELLA NO RETORNABLE TORONJA,10.0,33.8,10.0,1,FRESCA,8,0.3636
21136010480,AGUA MINERAL TOPO CHICO 1.5 LT BOTELLA NO RETORNABLE,9.7,31.0,9.7,1,TOPO CHICO,8,0.4545
75013554,REFRESCO COCA-COLA 355 ML BOTELLA RETORNABLE LIGHT,6.5,25.0,6.5,1,COCA,9,0.4545
21136010206,REFRESCO JOYA 355 ML BOTELLA RETORNABLE,6.5,25.0,6.5,1,JOYA,9,0.4545
2170,AGUA MINERAL 355 ML BOTELLA,6.5,25.0,6.5,1,OTRO,9,0.4545
7501055340040,REFRESCO SIDRAL MUNDET LIGHT 600ML. NR PET,7.1,23.2,7.1,1,MUNDET,9,0.4545
21136010541,AGUA MINERAL TOPO CHICO 600 ML BOTELLA NO RETORNABLE,7.6,21.0,7.6,1,TOPO CHICO,9,0.4848
21136414547,REFRESCO TOPO CHICO 591 ML BOTELLA NO RETORNABLE SANGRIA,7.0,24.5,7.0,1,TOPO CHICO,10,0.5
21136415476,REFRESCO TOPO CHICO 600 ML BOTELLA NO RETORNABLE:SANGRIA LIGH,7.0,24.5,7.0,1,TOPO CHICO,10,0.5
7501055303786,REFRESCO FRESCA 600 ML BOTELLA NO RETORNABLE TORONJA,7.1,23.2,7.1,1,FRESCA,10,0.5091
7501022013052,PEPSI BLACK 600ML,6.8,24.0,6.8,1,PEPSI,10,0.5273
7500326103360,REFRESCO SANGRIA SENORIAL 600ML NR,7.0,24.7,7.0,1,OTRO,10,0.5
7501031310012,REFRESCO PEPSI 600 ML BOTELLA NO RETORNABLE COLA,6.7,25.0,6.7,1,PEPSI,10,0.4935
7501022014585,7 UP 600 ML,6.7,25.0,6.7,1,OTRO,10,0.5091
7501055303779,REFRESCO FANTA 600 ML BOTELLA NO RETORNABLE NARANJA,7.1,23.2,7.1,1,FANTA,11,0.5364
