UPC,ITEM_DESC,ANCHO,ALTO,PROFUNDO,NUM_FRENTES,MARCA,CHAROLA,E_CHAROLA_NORM
7501031310258,Refresco Pepsi 2.5 lt botella No Retornable:cola,11.0,37.5,11.0,1,PEPSI,1,0.3833
7501031311682,Refresco Pepsi 1.5 L NR:Regular,8.3,33.0,8.3,2,PEPSI,1,0.35
7501055304745,Refresco CocaCola 3 lt botella No Retornable cola,11.3,36.7,11.3,1,COCA,1,0.3643
7501073800908,Penafiel Mineral 2 lt NR,10.3,34.1,10.3,1,PENAFIEL,2,0.45
21136010480,Agua mineral Topo Chico 1.5 lt botella No Retornable,9.7,31.0,9.7,1,TOPO CHICO,2,0.45
7501031310098,Refresco Pepsi 3 lt botella No Retornable:cola,12.5,37.5,12.5,2,PEPSI,2,0.45
21136010541,Agua mineral Topo Chico 600 ml botella No Retornable,7.8,20.6,7.8,1,TOPO CHICO,3,0.55
7500326103360,Se?orial Sangria 600ml NR,7.0,24.7,7.0,1,OTRO,3,0.55
7501505630073,Sangria casera Original 600ml NR,7.0,24.0,7.0,1,OTRO,3,0.55
7501022014585,Seven up Lima limon 600ml NR,6.7,25.0,6.7,1,OTRO,3,0.55
7501031311644,Refresco sabor cola Pepsi 1 lto botella no retornable:Regular,8.0,28.0,8.0,1,PEPSI,3,0.55
7501031310012,Refresco Pepsi 600 ml botella No Retornable cola,6.7,25.0,6.7,1,PEPSI,3,0.55
7501073831469,Penafiel Twist Limon 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,4,0.6167
7501073839854,Penafiel Naranjada 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,4,0.6833
7501022015377,Manzanita Sol PET 600ml,6.6,25.0,6.6,2,OTRO,4,0.65
7501022013052,PEPSI BLACK 600ML,6.8,24.0,6.8,1,PEPSI,4,0.6167
7501022014257,PEPSI KICK 500 ML,6.0,21.0,6.0,1,PEPSI,4,0.6833
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,1,COCA,4,0.65
7501073830509,Penafiel Mineral 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,5,0.725
7501022015858,7Up Citrus 600 Ml NR,7.8,20.0,7.8,1,OTRO,5,0.75
7501022013885,Seven up Lima limon 400ml NR,5.8,21.0,5.8,2,OTRO,5,0.75
7501022009277,Refresco Pepsi 473ml lata,6.7,16.0,6.7,2,PEPSI,5,0.75
7501031302741,Refresco de Cola Pepsi 400 ml bote No retornable,5.8,21.0,5.8,1,PEPSI,5,0.7167
7501055304745,Refresco CocaCola 3 lt botella No Retornable cola,11.3,36.7,11.3,1,COCA,6,0.3643
7501055310227,Refresco Coca-Cola 2.5 lt botella retornable cola,11.5,36.7,11.5,1,COCA,7,0.45
7501055335060,Coca Cola 2.75lts,12.5,35.9,12.5,1,COCA,7,0.45
7501055302925,Refresco CocaCola 2 lt botella No Retornable cola,10.0,34.7,10.0,1,COCA,7,0.45
7501055313532,Refresco Coca Cola 1.75L NR,9.5,34.1,9.5,1,COCA,7,0.45
75005771,Refresco CocaCola 355 ml botella Retornable,6.2,24.5,6.2,1,COCA,8,0.55
7501055371075,Sidral Mundet Manzana 500ml Vidrio Ret,6.72,28.3,6.72,1,MUNDET,8,0.55
75004699,Refresco CocaCola 500 ml botella vidrio Retornable,6.6,28.5,6.6,2,COCA,8,0.55
75005061,Sprite Lima limon 500ml Ret,6.6,28.5,6.6,1,SPRITE,8,0.55
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,2,COCA,9,0.65
7501055305339,Refresco CocaCola 600 ml botella No Retornable cola light,6.9,24.2,6.9,1,COCA,9,0.65
7501055320639,Coca Cola SA 600 ml NR,6.9,24.2,6.9,1,COCA,9,0.7
7501022015438,Pepsi Kick SG 473 Ml Lata 12 XD,6.6,16.3,6.6,1,PEPSI,10,0.75
7501022009277,Refresco Pepsi 473ml lata,6.7,16.0,6.7,1,PEPSI,10,0.75
7501055332175,Coca Cola Regular Chubby 355ml Pet,6.5,16.5,6.5,1,COCA,10,0.75
7501055313594,Refresco Coca-Cola 473 ml lata:Cola:regular,6.6,15.8,6.6,1,COCA,10,0.75
7501055354672,Coca-Cola 235ml VNR,5.3,18.4,5.3,1,COCA,10,0.75
7501055355310,Coca Cola 250 ml PET NR,5.6,17.0,5.6,1,COCA,10,0.75
7501055358984,Coca Cola SA 250ML,6.0,15.6,6.0,1,COCA,10,0.75
7501055300075,Refresco CocaCola 355 ml lata,6.6,12.2,6.6,1,COCA,10,0.75
