UPC,ITEM_DESC,ANCHO,ALTO,PROFUNDO,NUM_FRENTES,MARCA,CHAROLA,E_CHAROLA_NORM
7501071120077,Squirt Toronja 2L NR,10.0,35.0,10.0,1,SQUIRT,1,0.5114
7501071120176,Squirt Toronja 1.5L NR,9.0,33.0,9.0,1,SQUIRT,1,0.5078
7501055311804,Fresca Toronja 2.5L NR,11.5,36.7,11.5,1,FRESCA,1,0.4875
7501073840843,Penafiel Sifon 1.75lt NR,10.3,37.5,10.3,1,PENAFIEL,1,0.4792
7500326103421,Barrilitos Ponche 2L NR,9.5,34.5,9.5,1,BARRILITOS,1,0.4688
7501073800908,Penafiel Mineral 2 lt NR,10.3,34.1,10.3,1,PENAFIEL,2,0.5312
21136010480,Agua mineral Topo Chico 1.5 lt botella No Retornable,9.7,31.0,9.7,1,TOPO CHICO,2,0.5312
7501071120077,Squirt Toronja 2L NR,10.0,35.0,10.0,1,SQUIRT,2,0.5114
7501071120176,Squirt Toronja 1.5L NR,9.0,33.0,9.0,1,SQUIRT,2,0.5078
7501073839861,Penafiel Naranjada 2 lt NR,10.3,34.1,10.3,1,PENAFIEL,3,0.4489
7501055301058,Fresca Toronja 1.75L NR,9.95,33.0,9.95,1,FRESCA,3,0.4635
7500326103407,Barrilitos Durazno 2L NR,9.5,34.5,9.5,1,BARRILITOS,3,0.4375
7501073839861,Penafiel Naranjada 2 lt NR,10.3,34.1,10.3,1,PENAFIEL,3,0.4489
7501022015544,Manzanita Sol Manzana 2L NR,10.2,35.0,10.2,1,OTRO,3,0.4609
7501022015551,Manzanita Sol Manzana 2.5L NR,11.2,37.0,11.2,1,OTRO,4,0.4688
7501022014080,Seven up Lima limon 1.5L NR,8.3,33.5,8.3,1,OTRO,4,0.4688
7501055304806,Sprite Lima limon 3L NR,11.2,35.9,11.2,1,SPRITE,4,0.4618
7501022015544,Manzanita Sol Manzana 2L NR,10.2,35.0,10.2,1,OTRO,4,0.4609
7501022014646,Seven up Lima limon 3L NR,11.5,37.0,11.5,1,OTRO,4,0.4531
7501073839212,Penafiel Twist Limon 1 lt NR,8.0,27.9,8.0,1,PENAFIEL,5,0.5
7501071120183,Squirt Toronja 600ml NR,6.7,25.0,6.7,1,SQUIRT,5,0.5156
