UPC,ITEM_DESC,ANCHO,ALTO,PROFUNDO,NUM_FRENTES,MARCA,CHAROLA,E_CHAROLA_NORM
7501071120077,REFRESCO SQUIRT 2 LT BOTELLA NO RETORNABLE TORONJA,10.0,35.0,10.0,1,SQUIRT,1,0.3763
7501022014639,REFRESCO 7 UP 2.5L NR,11.0,37.5,11.0,1,OTRO,1,0.35
7501031310098,REFRESCO PEPSI 3 LT BOTELLA NO RETORNABLE:COLA,12.5,37.5,12.5,1,PEPSI,1,0.3575
7501031311682,REFRESCO PEPSI 1.5 L NR:REGULAR,8.3,33.25,8.3,2,PEPSI,1,0.3667
7501073800908,PENAFIEL MINERAL 2 LT NR,10.3,34.1,10.3,1,PENAFIEL,2,0.3962
7501073839861,PENAFIEL NARANJADA 2 LT NR,10.3,34.1,10.3,1,PENAFIEL,2,0.39
7501071120077,REFRESCO SQUIRT 2 LT BOTELLA NO RETORNABLE TORONJA,10.0,35.0,10.0,1,SQUIRT,2,0.3763
7501022013069,PEPSI BLACK 1.5 LTS,8.3,33.5,8.3,1,PEPSI,2,0.35
7501031311606,REFRESCO PEPSI 2 LT BOTELLA NO RETORNABLE COLA,10.0,35.0,10.0,1,PEPSI,2,0.3618
7501073830028,PENAFIEL MINERAL 1 LT NR,8.0,27.9,8.0,1,PENAFIEL,3,0.4587
7501073839212,PENAFIEL TWIST LIMON 1 LT NR,8.0,27.9,8.0,1,PENAFIEL,3,0.4925
7501073831469,PENAFIEL TWIST LIMON 600 ML NR,6.4,24.7,6.4,3,PENAFIEL,3,0.4893
7501022013052,PEPSI BLACK 600ML,6.8,24.0,6.8,1,PEPSI,3,0.5062
7501073841925,PENAFIEL PINADA 600ML NR,6.550000000000001,24.6,6.550000000000001,1,PENAFIEL,3,0.5112
7501073830028,PENAFIEL MINERAL 1 LT NR,8.0,27.9,8.0,1,PENAFIEL,4,0.4587
7501073839854,PENAFIEL NARANJADA 600 ML NR,6.7,24.5,6.7,1,PENAFIEL,4,0.5188
7501073839885,PENAFIEL LIMONADA 600 ML NR,6.7,24.5,6.7,2,PENAFIEL,4,0.4962
7501071120183,REFRESCO SQUIRT 600 ML BOTELLA NO RETORNABLE TORONJA,6.7,25.0,6.7,1,SQUIRT,4,0.4744
7501022014585,7 UP 600 ML,6.7,25.0,6.7,2,OTRO,4,0.4955
7501073830509,PENAFIEL MINERAL 600 ML NR,6.7,24.5,6.7,1,PENAFIEL,5,0.4789
7503006897016,RED COLA 600ML NR,6.6,24.4,6.4,1,OTRO,5,0.5167
7501073839854,PENAFIEL NARANJADA 600 ML NR,6.550000000000001,24.6,6.550000000000001,1,PENAFIEL,5,0.5188
7500326103360,REFRESCO SANGRIA SENORIAL 600ML NR,7.0,24.7,7.0,1,OTRO,5,0.5167
7501022013830,JUMEX FRUTZZO LIMONADA 600 ML,6.8,24.0,6.8,1,OTRO,5,0.5475
7501022014585,7 UP 600 ML,6.7,25.0,6.7,1,OTRO,5,0.4955
7501505630073,REFRESCO SANGRIA CASERA 600 ML NO RETORNABLE BOTELLA:UVA,7.0,24.0,7.0,1,OTRO,5,0.5411
7501198355536,DR PEPPER 355ML LATA,6.0,15.6,6.0,2,DR PEPPER,6,0.6023
7501022013885,7UP 400ML NR,6.0,21.0,6.0,2,OTRO,6,0.5838
7501031302741,REFRESCO DE COLA PEPSI 400 ML BOTE NO RETORNABLE,5.8,21.0,5.8,1,PEPSI,6,0.6
7501022013021,Pepsi Black Lata 355ml,6.6,12.3,6.6,1,PEPSI,6,0.5859
7501031302741,REFRESCO DE COLA PEPSI 400 ML BOTE NO RETORNABLE,5.8,21.0,5.8,1,PEPSI,6,0.6
7501022009277,REFRESCO PEPSI 473ML LATA,6.7,16.0,6.7,1,PEPSI,6,0.5857
