UPC,ITEM_DESC,MARCA,ANCHO_BLOQUE,ALTO,CHAROLA_MODAL,E_CHAROLA_NORM,E_CHAROLA
7501055304745,Refresco CocaCola 3 lt botella No Retornable cola,COCA,45.2,36.7,1,0.4137,9.9288
7501055313532,Refresco Coca Cola 1.75L NR,COCA,19.0,34.1,2,0.4523,10.8552
7501055302925,Refresco CocaCola 2 lt botella No Retornable cola,COCA,10.0,34.7,2,0.4472,10.7328
7501055310227,Refresco Coca-Cola 2.5 lt botella retornable cola,COCA,23.0,36.7,2,0.4249,10.1976
75007614,Refresco CocaCola 600 ml botella No Retornable cola,COCA,6.9,24.2,3,0.5295,12.708
75004699,Refresco CocaCola 500 ml botella vidrio Retornable,COCA,6.6,28.5,3,0.502,12.048
7501055302451,Refresco CocaCola 1 lt botella No Retornable cola,COCA,8.4,27.5,3,0.5018,12.0432
7501055313525,Refresco Coca Cola 1.25 lts No Retornable:Regular,COCA,8.5,30.0,3,0.4904,11.7696
7501055302086,Refresco CocaCola 500 ml botella vidrio No Retornable cola,COCA,6.9,23.5,4,0.5765,13.836
7501055305339,Refresco CocaCola 600 ml botella No Retornable cola light,COCA,6.9,24.2,4,0.5474,13.1376
75007614,Refresco CocaCola 600 ml botella No Retornable cola,COCA,13.8,24.2,4,0.5295,12.708
7501055332175,Coca Cola Regular Chubby 355ml Pet,COCA,6.5,16.5,5,0.6025,14.46
7501055356256,Coca Cola Sin Azucar Chubby 355ml Pet,COCA,6.5,16.5,5,0.5833,13.9992
7501055302086,Refresco CocaCola 500 ml botella vidrio No Retornable cola,COCA,6.9,23.5,5,0.5765,13.836
7501055320639,Coca Cola SA 600 ml NR,COCA,20.7,24.2,5,0.5597,13.4328
7501055365395,CocaCola Light lata 355 ML NR Sleek Can,COCA,5.8,15.8,6,0.625,15.0
7501055361540,CocaCola Original lata 355 ML NR Sleek Can,COCA,5.8,15.8,6,0.6198,14.8752
7501055300075,Refresco CocaCola 355 ml lata,COCA,6.6,12.2,6,0.6149,14.7576
7501055358984,Coca Cola SA 250ML,COCA,6.0,15.6,6,0.6076,14.5824
7501055355310,Coca Cola 250 ml PET NR,COCA,5.6,17.0,6,0.6115,14.676
7501055354672,Coca-Cola 235ml VNR,COCA,10.6,18.4,6,0.6138,14.7312
7501055313594,Refresco Coca-Cola 473 ml lata:Cola:regular,COCA,6.6,15.8,6,0.6022,14.4528
